Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Age group (product.metafields.shopify.age-group),Bag/Case material (product.metafields.shopify.bag-case-material),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Included / International,Price / International,Compare At Price / International,Status
posh-set-of-3-bag-maroon,Posh set of 3 Bag maroon,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/maroon6_1aa49bec-c624-4368-bd44-c1b1878c6184.jpg?v=1720015549,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh-set-of-3-bag-maroon,Posh set of 3 Bag maroon,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/DSC_8472_7c595c6b-a420-41fd-a54d-5a736ff59a8f.jpg?v=1729258962,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh-set-of-3-bag-maroon,Posh set of 3 Bag maroon,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/maroon7_7587e796-ee74-4784-a3de-710c2696ea25.jpg?v=1720015549,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh-set-of-3-bag-maroon,Posh set of 3 Bag maroon,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/maroon3_274909a4-b291-4ba1-9a1d-1a05d3e4ea14.jpg?v=1720015549,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh-set-of-3-bag-maroon,Posh set of 3 Bag maroon,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/maroon4_1b09b5b1-a2a0-4d07-a8b0-c0858eff7785.jpg?v=1720015549,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh-set-of-3-bag-maroon,Posh set of 3 Bag maroon,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/maroon5_dba6f984-695d-45b9-bfc3-d95027fe9583.jpg?v=1720015549,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh-set-of-3-bag-maroon,Posh set of 3 Bag maroon,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/maroon2_0cbd7585-af83-4e34-9812-420e707660c9.jpg?v=1720015549,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posh-set-of-3-bag-maroon,Posh set of 3 Bag maroon,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/maroon3_d395776a-dce9-42a7-af5f-ea1b8e956614.jpg?v=1720015549,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olivia-bag-maroon-plain,Olivia Bag (maroon Plain),"<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0268/0602/6426/files/Untitled-1-min-min_480x480.jpg?v=1637574287"" alt="""" data-mce-selected=""1"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0268/0602/6426/files/Untitled-1-min-min_480x480.jpg?v=1637574287""></strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Hand Bag<br></strong><strong data-mce-fragment=""1"">     Width</strong>: 9"" inches<br><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">     Height</strong>: 5.5"" inches<br><br><strong data-mce-fragment=""1"">- Adjustable &amp; Removable long strap </strong><br data-mce-fragment=""1"">     <strong data-mce-fragment=""1"">Length:</strong> 44"" inches<br></span><strong><br>- Top leather handle </strong><br data-mce-fragment=""1""><strong>- Single compartment with one inside zip pocket</strong><br><strong>- Front single pocket</strong><br></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><b>Note:</b><span> </span>There may be slight variation of colors due to bright light</strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><a href=""https://astore.pk/collections/handbags"" data-mce-fragment=""1"" data-mce-href=""https://astore.pk/collections/handbags"">Handbags Pakistan</a></strong></p>",Astore Luxury,,,"all,Bag,Handbag,handbags,HandleBag,premium,windup",2024-09-20T14:56:52+05:00,Title,Default Title,,,,,,,,Olivia-Bag-(Beige-Plain) windup,0,shopify,100,deny,manual,3699.0,7398.0,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/maroon1_c28ad2cc-cf0c-4387-9f21-1237d39f5c64.jpg?v=1726827765,1,,FALSE,,,,,adults; teens,,new,FALSE,,,,,,adults; teens,,,,female,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/maroon1_c28ad2cc-cf0c-4387-9f21-1237d39f5c64.jpg?v=1726827765,kg,,,,3699.0,7398.0,,,,active
olivia-bag-maroon-plain,Olivia Bag (maroon Plain),,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/maroon2_3f141acf-d022-4f91-85e3-0ada01e4205c.jpg?v=1726827765,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olivia-bag-maroon-plain,Olivia Bag (maroon Plain),,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/maroon3_d4c1d187-b6b6-4d3d-bfe5-9bfe1f7ebde7.jpg?v=1726827765,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olivia-bag-maroon-plain,Olivia Bag (maroon Plain),,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/maroon4_91203198-93b9-4626-8f60-b121a3e4d8ab.jpg?v=1726827765,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olivia-bag-brown-plain,Olivia Bag (brown Plain),"<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0268/0602/6426/files/Untitled-1-min-min_480x480.jpg?v=1637574287"" alt="""" data-mce-selected=""1"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0268/0602/6426/files/Untitled-1-min-min_480x480.jpg?v=1637574287""></strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Hand Bag<br></strong><strong data-mce-fragment=""1"">     Width</strong>: 9"" inches<br><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">     Height</strong>: 5.5"" inches<br><br><strong data-mce-fragment=""1"">- Adjustable &amp; Removable long strap </strong><br data-mce-fragment=""1"">     <strong data-mce-fragment=""1"">Length:</strong> 44"" inches<br></span><strong><br>- Top leather handle </strong><br data-mce-fragment=""1""><strong>- Single compartment with one inside zip pocket</strong><br><strong>- Front single pocket</strong><br></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><b>Note:</b><span> </span>There may be slight variation of colors due to bright light</strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><a href=""https://astore.pk/collections/handbags"" data-mce-fragment=""1"" data-mce-href=""https://astore.pk/collections/handbags"">Handbags Pakistan</a></strong></p>",Astore Luxury,,,"all,Bag,Handbag,handbags,HandleBag,premium,windup",2024-09-20T14:34:45+05:00,Title,Default Title,,,,,,,,Olivia-Bag-(Beige-Plain) windup,0,shopify,100,deny,manual,3699.0,7398.0,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/brown1_4817100f-6413-44c3-abf6-9c4477a73ed7.jpg?v=1726826168,1,,FALSE,,,,,adults; teens,,new,FALSE,,,,,,adults; teens,,,,female,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/brown1_4817100f-6413-44c3-abf6-9c4477a73ed7.jpg?v=1726826168,kg,,,,3699.0,7398.0,,,,active
olivia-bag-brown-plain,Olivia Bag (brown Plain),,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/brown2_df62043a-ddc4-4802-bc9e-f7c2c7b0d979.jpg?v=1726826168,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olivia-bag-brown-plain,Olivia Bag (brown Plain),,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/brown3_d829d08c-db7f-419b-8448-ff868319023e.jpg?v=1726826168,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olivia-bag-brown-plain,Olivia Bag (brown Plain),,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/files/brown4_531c50b3-8c15-4bbf-afed-5c54ae022ea3.jpg?v=1726826168,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olivia-bag-black-plain-copy,Olivia Bag (Black Plain),"<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0268/0602/6426/files/Untitled-1-min-min_480x480.jpg?v=1637574287"" alt="""" data-mce-selected=""1"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0268/0602/6426/files/Untitled-1-min-min_480x480.jpg?v=1637574287""></strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Hand Bag<br></strong><strong data-mce-fragment=""1"">     Width</strong>: 9"" inches<br><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">     Height</strong>: 5.5"" inches<br><br><strong data-mce-fragment=""1"">- Adjustable &amp; Removable long strap </strong><br data-mce-fragment=""1"">     <strong data-mce-fragment=""1"">Length:</strong> 44"" inches<br></span><strong><br>- Top leather handle </strong><br data-mce-fragment=""1""><strong>- Single compartment with one inside zip pocket</strong><br><strong>- Front single pocket</strong><br></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><b>Note:</b><span> </span>There may be slight variation of colors due to bright light</strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><a href=""https://astore.pk/collections/handbags"" data-mce-href=""https://astore.pk/collections/handbags"" data-mce-fragment=""1"">Handbags Pakistan</a></strong></p>",Astore Luxury,,,"all,Bag,Handbag,handbags,HandleBag,premium",2024-09-12T12:10:21+05:00,Title,Default Title,,,,,,,,Olivia-Bag-(Black-Plain) windup,0,shopify,100,deny,manual,3699.0,7398.0,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/black3_18a57bb5-9cc4-4b51-bfd4-bb5bc1b2ec63.jpg?v=1676901335,1,,FALSE,,,,,adults; teens,,new,FALSE,,,,,,adults; teens,,,,female,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/black3_18a57bb5-9cc4-4b51-bfd4-bb5bc1b2ec63.jpg?v=1676901335,kg,,,,3699.0,7398.0,,,,active
olivia-bag-black-plain-copy,Olivia Bag (Black Plain),,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/black2_67226651-e49c-4ad1-893f-316afa369ea4.jpg?v=1676901335,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olivia-bag-black-plain-copy,Olivia Bag (Black Plain),,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/black1_9f4820df-6076-48c7-b3a6-c4800bd8b60f.jpg?v=1676901318,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olivia-bag-black-plain-copy,Olivia Bag (Black Plain),,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/black_6555be74-7c21-46b3-9350-0b1ab0166f32.jpg?v=1676901313,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olivia-bag-beige-plain-copy,Olivia Bag (Beige Plain),"<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0268/0602/6426/files/Untitled-1-min-min_480x480.jpg?v=1637574287"" alt="""" data-mce-selected=""1"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0268/0602/6426/files/Untitled-1-min-min_480x480.jpg?v=1637574287""></strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Hand Bag<br></strong><strong data-mce-fragment=""1"">     Width</strong>: 9"" inches<br><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">     Height</strong>: 5.5"" inches<br><br><strong data-mce-fragment=""1"">- Adjustable &amp; Removable long strap </strong><br data-mce-fragment=""1"">     <strong data-mce-fragment=""1"">Length:</strong> 44"" inches<br></span><strong><br>- Top leather handle </strong><br data-mce-fragment=""1""><strong>- Single compartment with one inside zip pocket</strong><br><strong>- Front single pocket</strong><br></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><b>Note:</b><span> </span>There may be slight variation of colors due to bright light</strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><a href=""https://astore.pk/collections/handbags"" data-mce-fragment=""1"" data-mce-href=""https://astore.pk/collections/handbags"">Handbags Pakistan</a></strong></p>",Astore Luxury,,,"all,Bag,Handbag,handbags,HandleBag,premium,windup",2024-09-12T12:10:11+05:00,Title,Default Title,,,,,,,,Olivia-Bag-(Beige-Plain) windup,0,shopify,100,deny,manual,3699.0,7398.0,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/beigep3.jpg?v=1676978369,1,,FALSE,,,,,adults; teens,,new,FALSE,,,,,,adults; teens,,,,female,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/beigep3.jpg?v=1676978369,kg,,,,3699.0,7398.0,,,,active
olivia-bag-beige-plain-copy,Olivia Bag (Beige Plain),,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/beigep2.jpg?v=1676978369,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olivia-bag-beige-plain-copy,Olivia Bag (Beige Plain),,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/beigep4.jpg?v=1677151322,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olivia-bag-beige-plain-copy,Olivia Bag (Beige Plain),,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/beigep1.jpg?v=1677151322,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nifty-bag-peach,Nifty Bag Peach,"<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0268/0602/6426/files/Untitled-1-min-min_480x480.jpg?v=1637574287"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0268/0602/6426/files/Untitled-1-min-min_480x480.jpg?v=1637574287""><br></strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Hand Bag<br></strong><strong data-mce-fragment=""1"">     Width</strong>: 10"" inches<br><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">     Height</strong>: 8"" inches<br></span><span data-mce-fragment=""1"">     <strong data-mce-fragment=""1"">Depth</strong>: 4"" inches</span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">- Adjustable &amp; Removable long strap<br></strong><strong data-mce-fragment=""1"">      Length:</strong><span data-mce-fragment=""1""> 44</span><span data-mce-fragment=""1"">"" inches</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""><strong>- Top Zip Closure </strong><br><strong>- Double compartment with inside mid zip pocket <br>- Top leather handle </strong></span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""><strong><b>Note:</b> There may be slight variation of colors due to bright light</strong></span></p>",Astore.pk,,,"all,Bag,bags,handbags,HandleBag,shoulder bag",2022-10-27T22:01:10+05:00,Title,Default Title,,,,,,,,Nifty-Bag-Peach,0,shopify,100,deny,manual,2699.0,5398.0,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/2_61b456d3-9833-492d-b2c2-1205dc546018.jpg?v=1670670762,1,,FALSE,,,,,adults; teens,,new,FALSE,,,,,,adults; teens,,,,female,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/2_61b456d3-9833-492d-b2c2-1205dc546018.jpg?v=1670670762,kg,,,,2699.0,5398.0,,,,active
nifty-bag-peach,Nifty Bag Peach,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/3_4df4ed4a-9382-4e41-a368-76bc07fecb70.jpg?v=1670670764,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nifty-bag-peach,Nifty Bag Peach,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/5_cae16385-b0ca-48cf-80e8-874fe6727282.jpg?v=1670670769,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nifty-bag-peach,Nifty Bag Peach,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/niftypeach.jpg?v=1673262464,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nifty-bag-peach,Nifty Bag Peach,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/0602/6426/products/6_40b9b73b-6fa4-469a-9c8e-bb3576d17025.jpg?v=1673262464,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
